title,company,town,link
"Продавець-консультант побутової техніки (ТЦ ""Орнава"")",Фокстрот,Тернопіль,https://grc.ua/vacancies/69942269
Продавець-консультант побутової техніки та електроніки,Фокстрот,Калуш,https://grc.ua/vacancies/69942277
Продавець-консультант побутової техніки та електроніки,Фокстрот,Чернівці,https://grc.ua/vacancies/69942279
Продавець-консультант побутової техніки та електроніки,Фокстрот,Ужгород,https://grc.ua/vacancies/69942286
Продавець-консультант побутової техніки та електроніки,Фокстрот,Надвірна,https://grc.ua/vacancies/69942291
Продавець-консультант побутової техніки та електроніки (ТРЦ King Cross),Фокстрот,Львів,https://grc.ua/vacancies/69942294
"Продавець-консультант побутової техніки та електроніки (ТРЦ ""Майдан"")",Фокстрот,Червоноград,https://grc.ua/vacancies/69942296
Продавець-консультант у магазин побутової техніки,Фокстрот,Ірпінь,https://grc.ua/vacancies/69942318
Продавець-консультант у магазин побутової техніки,Фокстрот,Київ,https://grc.ua/vacancies/69942320
Продавець-консультант у магазин побутової техніки,Фокстрот,Біла Церква,https://grc.ua/vacancies/69942322
Продавець-консультант побутової техніки та електроніки (центр),Фокстрот,Львів,https://grc.ua/vacancies/69942324
Продавець-консультант магазину цифрової та побутової техніки,Фокстрот,Коростень,https://grc.ua/vacancies/69942234
Продавець-консультант магазину цифрової та побутової техніки,Фокстрот,Лубни,https://grc.ua/vacancies/69942237
Продавець торгівельного залу (Дарницька площа),Novus,Київ,https://grc.ua/vacancies/69942999
"Продавець за прилавок (вокзал ""Дарниця"")",Novus,Київ,https://grc.ua/vacancies/69942998
Продавець за прилавок (Теремки-2),Novus,Київ,https://grc.ua/vacancies/69942989
Продавець за прилавок (м ВДНГ),Novus,Київ,https://grc.ua/vacancies/69942984
"Менеджер з продажу, торговий представник (з авто)",Юг-Контракт,"Одеса, Високий провулок, 15",https://grc.ua/vacancies/69940247
Касир спортивного магазину (проспект Степана Бандери),PUMA,Київ,https://grc.ua/vacancies/69942928
Продавець-мечрендайзер спортивного магазину (проспект Героїв),PUMA,Дніпро,https://grc.ua/vacancies/69942942
Manager CRM & Customer Сare Ecommerce,PUMA,Київ,https://grc.ua/vacancies/69942957
"Комірник на склад спортивного одягу (с. Мартусівка, Бориспільський район)",PUMA,Бориспіль,https://grc.ua/vacancies/69942920
Продавець продовольчих товарів,Novus,Київ,https://grc.ua/vacancies/69942922
Продавець-касир спортивного магазину (Почайна),PUMA,Київ,https://grc.ua/vacancies/69942938
Продавець у новий спортивний магазин (ТЦ Магелан),PUMA,Київ,https://grc.ua/vacancies/69942965
Продавець-консультант (навпроти Lavina Moll),Novus,Київ,https://grc.ua/vacancies/69942919
Продавець,Novus,Київ,https://grc.ua/vacancies/69942923
Продавець-консультант (Дарницький район),Novus,Київ,https://grc.ua/vacancies/69942931
Продавець-касир спортивного магазину (метро Почайна),PUMA,Київ,https://grc.ua/vacancies/69942936
"Продавець-мерчендайзер спортивного магазину (ТЦ ""Європа"")",PUMA,Дніпро,https://grc.ua/vacancies/69942940
"Продавець-консультант спортивного магазину (ТЦ ""Європа"")",PUMA,Дніпро,https://grc.ua/vacancies/69942944
"Комірник спортивного магазину (ТЦ ""Караван"")",PUMA,Київ,https://grc.ua/vacancies/69942946
